,dayVec1,dayVec2,dayVec4,dayVec8,dayVec16,dayVec32,dayVec64,dayVec128,dayVec256,movAvg8,movAvg16,movAvg32,movAvg64,movAvg128,movAvg256,movMin8,movMin16,movMin32,movMin64,movMin128,movMin256,movMax8,movMax16,movMax32,movMax64,movMax128,movMax256,movMed8,movMed16,movMed32,movMed64,movMed128,movMed256,movSTD8,movSTD16,movSTD32,movSTD64,movSTD128,movSTD256,movAvgTrends8,movAvgTrends16,movAvgTrends32,movAvgTrends64,movAvgTrends128,movAvgTrends256,dayVec1Forward,dayVec2Forward,dayVec4Forward,dayVec8Forward,dayVec16Forward,dayVec32Forward,dayVec64Forward
2004-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02571804017270518,-0.02130869319253259,0.03304140127388533,-0.06989247311827951,-0.06889128094725516,0.16237402015677493,0.10519591141396933
2004-01-05,0.02639691714836223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004525740147086621,0.02639691714836223,0.03256445047489831,-0.05179779280882868,0.025211701308698986,0.1793225592207217,0.14707149009474607
2004-01-06,-0.004505350103247596,0.021772639691714835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021772639691714835,0.05553343949044587,0.0015108593012276295,-0.048277099784637456,0.07740755790329135,0.20604957925858547,0.15659760087240993
2004-01-07,-0.02130869319253259,-0.02571804017270518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03304140127388533,0.006008916456677449,-0.054816973228919985,-0.08320084790673032,0.029761904761904656,0.2263705103969753,0.0790020790020789
2004-01-08,-0.03198458574181107,-0.05261172920988122,-0.03198458574181107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.43548387096774,,,,,,-0.026167861988757535,-0.051180358829084005,-0.0996415770609318,-0.106049822064057,0.04081209861197421,0.1700046576618539,0.047539616346955915
2004-01-09,0.02687101910828038,-0.005973025048169434,-0.031537450722733285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2741935483871,,,,,,-0.0256846081208687,-0.0604625751229283,-0.08170167319330712,-0.09776145505421474,0.14797507788162,0.18190148911798398,0.10755689136968671
2004-01-12,0.026361698003489087,0.053941082802547724,-0.0015085800490288737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.79032258064517,,,,,,-0.035694773265343205,-0.051075268817204256,-0.04971284996410619,-0.07284188408334791,0.1665565102445472,0.2311090444082773,0.13165206240649718
2004-01-13,0.03701605288007537,0.06435355689087019,0.05799614643545281,,,,,,,0.046427975892708195,,,,,,0.09295382165605082,,,,,,0.0,,,,,,0.0474010491177872,,,,,,38.489165091110344,,,,,,74.62903225806453,,,,,,-0.015949820788530467,-0.02260590957636177,-0.03003003003003013,-0.03717341749956171,0.19265855777584706,0.27786828019548526,0.16854649925516063
2004-01-14,0.016208340921507913,0.053824362606232246,0.11066878980891715,0.07514450867052025,,,,,,0.05360050980669828,,,,,,0.11066878980891715,,,,,,0.0,,,,,,0.053028873372334306,,,,,,30.215391952364943,,,,,,74.46774193548387,,,,,,-0.006763972944108243,0.001435750179468842,-0.007117437722420017,0.0010764262648008671,0.20388349514563098,0.3282551773387288,0.22637362637362624
2004-01-15,0.006810035842294004,0.023128756146421514,0.08897073076177553,0.05462737000187712,,,,,,0.05353961556493192,,,,,,0.11823248407643305,,,,,,0.0,,,,,,0.060200037742970336,,,,,,25.452201735314645,,,,,,74.30645161290323,,,,,,0.008255563531945453,-0.007595831125242869,-0.017488632388947156,0.0812163202463434,0.225032708242477,0.3013666898309011,0.1925281256633411
