,dayVec1,dayVec2,dayVec4,dayVec8,dayVec16,dayVec32,dayVec64,dayVec128,dayVec256,movAvg8,movAvg16,movAvg32,movAvg64,movAvg128,movAvg256,movMin8,movMin16,movMin32,movMin64,movMin128,movMin256,movMax8,movMax16,movMax32,movMax64,movMax128,movMax256,movMed8,movMed16,movMed32,movMed64,movMed128,movMed256,movSTD8,movSTD16,movSTD32,movSTD64,movSTD128,movSTD256,Bear Markettrends8,Bear Markettrends16,Bear Markettrends32,Bear Markettrends64,Bear Markettrends128,Bear Markettrends256,Bull Markettrends8,Bull Markettrends16,Bull Markettrends32,Bull Markettrends64,Bull Markettrends128,Bull Markettrends256,dayVec1Forward,dayVec2Forward,dayVec4Forward,dayVec8Forward,dayVec16Forward,dayVec32Forward,dayVec64Forward
2004-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036664503569110884,-0.03462851568850589,-0.07823657249301452,-0.11320191158900827,-0.15653409090909098,-0.16718092566619913,-0.22175622542595008
2004-01-05,0.038059952846076106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021134774833360126,-0.0006485084306095956,-0.0419645632576936,-0.07724550898203586,-0.1093772576217309,-0.14826585601768694,-0.1752742841851752
2004-01-06,-0.0021090201168073586,0.035870663523071666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0027561608300907814,-0.045172306737038204,-0.07294649585531265,-0.11394410832613089,-0.10282963827304559,-0.12065761258041463,-0.16788419913419916
2004-01-07,0.0027637782474394523,0.0006489292667100077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.042533374728345286,-0.041342866024246194,-0.07719928186714542,-0.11671201489331229,-0.09160530191458038,-0.10879930645860414,-0.1701870039015202
2004-01-08,0.04442282749675752,0.0473093805885223,0.08487706298416975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03125,,,,,,1.0625429553264605,,,,,,0.0012433944668945873,-0.029088168801808534,-0.037933094384707156,-0.06434277414669565,-0.04378803621790117,-0.10115808567043394,-0.12615301139446555
2004-01-09,-0.0012418503570319483,0.04312581063553833,0.0438027255029203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0309734513274336,,,,,,1.061444969615125,,,,,,-0.030293896006028498,-0.03740275284260919,-0.03682634730538914,-0.05990648743424887,-0.04667358127129928,-0.1315967067080578,-0.10489705063995536
2004-01-12,0.031240285980727256,0.029959639863396337,0.0786863924565111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0301724137931036,,,,,,1.0583707504810775,,,,,,-0.007330939557151583,-0.009109916367980864,-0.04422356669547689,-0.033925451368666426,0.011278768480414536,-0.1218898888300689,-0.07641982182628071
2004-01-13,0.007385079125847849,0.03885607709045691,0.08365758754863828,,,,,,,0.05642484589852992,,,,,,0.12563152576625125,,,,,,0.0,,,,,,0.0607840025392794,,,,,,24.494848597156967,,,,,,1.02991452991453,,,,,,1.0574132492113566,,,,,,-0.0017921146953403522,0.0005988023952097077,-0.04281827294858931,-0.05285532095791401,0.0043576258452291405,-0.1346452615225271,-0.0505681818181819
2004-01-14,0.0017953321364450048,0.00919366993217774,0.03942874883576519,0.12765240821825508,,,,,,0.04270642737571495,,,,,,0.08860347910908795,,,,,,0.0,,,,,,0.040074557315936676,,,,,,27.21836010200574,,,,,,1.0296610169491527,,,,,,1.0564866542520173,,,,,,0.0023952095808381646,-0.03543647363872093,-0.027450980392156876,-0.04886363636363655,-0.034880368982415755,-0.10945604468679349,-0.013843888070692367
2004-01-15,-0.002389486260453988,-0.0005984440454818163,0.038234379857009504,0.08371187540558078,,,,,,0.029870880709192305,,,,,,0.08600227605267441,,,,,,-0.002389486260453988,,,,,,0.021641049170299187,,,,,,28.409930566524707,,,,,,1.0294117647058827,,,,,,1.0555894929749543,,,,,,-0.037741284932296226,-0.043391092653587315,-0.02396259497369957,-0.034821557578384565,-0.029069767441860517,-0.11063773132738652,-0.023249013013598496
