,dayVec1,dayVec2,dayVec4,dayVec8,dayVec16,dayVec32,dayVec64,dayVec128,dayVec256,movAvg8,movAvg16,movAvg32,movAvg64,movAvg128,movAvg256,movMin8,movMin16,movMin32,movMin64,movMin128,movMin256,movMax8,movMax16,movMax32,movMax64,movMax128,movMax256,movMed8,movMed16,movMed32,movMed64,movMed128,movMed256,movSTD8,movSTD16,movSTD32,movSTD64,movSTD128,movSTD256,Bear Markettrends8,Bear Markettrends16,Bear Markettrends32,Bear Markettrends64,Bear Markettrends128,Bear Markettrends256,Bull Markettrends8,Bull Markettrends16,Bull Markettrends32,Bull Markettrends64,Bull Markettrends128,Bull Markettrends256,dayVec1Forward,dayVec2Forward,dayVec4Forward,dayVec8Forward,dayVec16Forward,dayVec32Forward,dayVec64Forward
2008-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964346349745337,0.9265905383360562,0.8480138221244291,0.692192635840624,0.6084276235833518,0.7548435670516871,0.9639970609845685,0.9258997882851087,0.869269949066214,0.8404329119673417,0.8240681615928431,0.8673095444239881,-0.010091302258529389,-0.026924893717524823,-0.022306597057427546,-0.059790050205385636,-0.026465028355387443,-0.07747424988804286,0.09167991520932706
2008-04-24,0.010194174757281349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9639794168096112,0.9258649093904487,0.8488908920370797,0.690147256539735,0.6041563491229229,0.747280070853706,0.9636228656273182,0.9251603706343543,0.8657662164415542,0.8338068103157066,0.8163087277254963,0.8583608817355259,-0.017005196032121028,-0.009047619047619082,-0.016075650118203333,-0.03433874709976803,-0.03746530989824248,-0.04759725400457682,0.08668407310704973
2008-04-25,0.01729937530033654,0.02766990291262128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9636048526863142,0.9251247920133153,0.8495348407368616,0.6883060750780385,0.6000478687525838,0.7396990855217387,0.9632408102025489,0.924406047516198,0.8624685138539043,0.8272943136846489,0.8086545786987657,0.8494238156209988,0.008095238095238155,0.0047460844803037805,-0.033774532177088035,-0.001885902876001877,-0.026666666666666616,-0.024873330262551785,0.1363392377885133
2008-04-28,-0.008030231459612791,0.00913022585295531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9624329159212941,0.9228130360205877,0.8499805699069267,0.6840413550832053,0.5886798779613457,0.7168537446889531,0.9620449264136313,0.9220489977728278,0.8538283062645012,0.8084133978057494,0.7862931712836654,0.8226766517864745,-0.0033222591362126463,-0.007092198581560183,-0.04588823262153574,-0.0117647058823529,-0.03002309468822162,-0.03890160183066371,0.10526315789473695
2008-04-29,0.0033333333333334103,-0.004723665564478119,0.022815533980582448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9620253164557022,0.9220103986135225,0.8496049352505941,0.6830534410289181,0.5852046604000173,0.7092053618013147,0.9616288175411105,0.9212303075768935,0.8513736025652138,0.8023307062665188,0.7790298578571845,0.8137804292706197,-0.003782505910165379,-0.0383386581469648,-0.0383386581469648,-0.027688047992616593,-0.0042533081285444085,-0.05895489057615011,0.08273381294964022
2008-04-30,0.0037968675842430244,0.0071428571428571175,0.016338298894762238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9616087751371176,0.9211908931698819,0.848953028651384,0.6822909459412229,0.5818846862619915,0.7015407781870985,0.9612034837688028,0.9203942380591347,0.8491366120218579,0.7963497432308728,0.7718570290931406,0.8048930338096205,-0.03468735737106354,-0.03907314856883248,-0.018561484918793614,-0.016279069767441978,-0.009367681498829161,-0.07032967032967041,0.09870129870129873
2008-05-01,0.035933806146572156,0.039867109634551534,0.03495512517713739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9611829944547197,0.9203539823008895,0.848016571043417,0.6817600644236126,0.5787192985900561,0.6938602567810233,0.9607686148919121,0.9195402298850566,0.8471211118464593,0.7904683823294539,0.764771922385672,0.7960139121887123,-0.004543389368468986,0.0,0.03300330033003296,0.027673545966228952,0.036423841059602724,-0.054788610871440935,0.13582166925868333
2008-05-02,0.0045641259698767644,0.04066193853427902,0.04809523809523819,,,,,,,0.03747348574122089,,,,,,0.06844660194174756,,,,,,0.0,,,,,,0.04263382283278072,,,,,,43.26348653110213,,,,,,0.9917008089085052,0.9513046607882,0.8770759709986232,0.7062533385144844,0.5967820685412063,0.711328796477265,0.9702850212249833,0.9288824383163996,0.8550434201736807,0.7938324012788569,0.7666632854651809,0.7964053378024091,0.0045641259698767644,0.02134570765661259,0.03576470588235292,0.03333333333333344,0.03674046161092792,-0.04470486111111105,0.12295918367346936
2008-05-05,-0.004543389368468986,0.0,0.039867109634551534,0.06359223300970873,,,,,,0.024849441618429502,,,,,,0.052859202306583475,,,,,,-0.004543389368468986,,,,,,0.03544423440453692,,,,,,44.52900602845223,,,,,,1.0573107789611929,1.034004872427028,0.9608437205582331,0.7825072966763025,0.6530255001713062,0.7632995907818222,0.9913258983890938,0.9540846750149065,0.8788794287283713,0.8042726987119068,0.772800085693558,0.7975097917540744,0.016705336426914075,0.03300330033003296,0.01107521919704646,0.03544423440453692,0.023353573096683844,-0.042813455657492394,0.07718780727630281
2008-05-06,-0.016430853491556374,-0.02089959109495687,0.01891252955082745,0.03555982700624716,,,,,,0.003667695173778851,,,,,,0.02619047619047632,,,,,,-0.02089959109495687,,,,,,0.008895131086142483,,,,,,49.82435096994539,,,,,,1.069673401319389,1.057523253693239,0.987590397972497,0.8083139911757933,0.6725141281434939,0.7804589153338563,0.9956440572495316,0.9614421632448662,0.8865493835711317,0.8078258125591667,0.7750037841981651,0.7978545594382043,0.016030174446016066,0.014117647058823568,0.0023255813953488857,-0.00323774283071232,0.023266856600190122,-0.06304347826086953,0.07213930348258701
