,dayVec1,dayVec2,dayVec4,dayVec8,dayVec16,dayVec32,dayVec64,dayVec128,dayVec256,movAvg8,movAvg16,movAvg32,movAvg64,movAvg128,movAvg256,movMin8,movMin16,movMin32,movMin64,movMin128,movMin256,movMax8,movMax16,movMax32,movMax64,movMax128,movMax256,movMed8,movMed16,movMed32,movMed64,movMed128,movMed256,movSTD8,movSTD16,movSTD32,movSTD64,movSTD128,movSTD256,AAPLtrends8,AAPLtrends16,AAPLtrends32,AAPLtrends64,AAPLtrends128,AAPLtrends256,Stockstrends8,Stockstrends16,Stockstrends32,Stockstrends64,Stockstrends128,Stockstrends256,Apple stocktrends8,Apple stocktrends16,Apple stocktrends32,Apple stocktrends64,Apple stocktrends128,Apple stocktrends256,dayVec1Forward,dayVec2Forward,dayVec4Forward,dayVec8Forward,dayVec16Forward,dayVec32Forward,dayVec64Forward
2004-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03797468354430378,-0.03797468354430378,-0.08982035928143706,-0.12138728323699421,-0.07878787878787874,-0.050000000000000044,-0.24752475247524752
2004-01-05,0.03947368421052633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.018633540372670843,-0.03658536585365846,-0.030674846625766805,-0.018633540372670843,-0.012499999999999956,-0.20603015075376885
2004-01-06,0.0,0.03947368421052633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018633540372670843,-0.053892215568862145,-0.07058823529411762,-0.024691358024691357,-0.024691358024691357,0.0,-0.18974358974358974
2004-01-07,0.018987341772152,0.018987341772152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0359281437125748,-0.018292682926829174,-0.06395348837209291,-0.006172839506172867,0.0,0.006250000000000089,-0.18274111675126903
2004-01-08,0.03726708074534146,0.056962025316455556,0.09868421052631571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9401709401709403,,,,,,0.9847161572052401,,,,,,1.0,,,,,,0.018292682926829285,-0.01764705882352946,-0.034682080924855474,0.030864197530864113,0.05031446540880502,0.024539877300613577,-0.16500000000000004
2004-01-09,-0.017964071856287456,0.01863354037267073,0.03797468354430378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9391304347826086,,,,,,0.9846491228070176,,,,,,1.0,,,,,,-0.03529411764705881,-0.04651162790697683,0.006134969325153339,0.03797468354430378,0.03144654088050314,-0.0060606060606061,-0.14583333333333337
2004-01-12,0.03658536585365857,0.017964071856287456,0.07594936708860756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9357798165137615,,,,,,0.9844444444444446,,,,,,1.0,,,,,,-0.011627906976744207,-0.017341040462427793,0.04938271604938271,0.05590062111801242,0.08974358974358965,-0.005847953216374324,-0.10526315789473684
2004-01-13,0.0117647058823529,0.04878048780487809,0.06832298136645965,,,,,,,0.056835637480798784,,,,,,0.13157894736842102,,,,,,0.0,,,,,,0.05846153846153834,,,,,,24.37972887239109,,,,,,0.9345794392523364,,,,,,0.9843750000000001,,,,,,1.0,,,,,,-0.005780346820809301,0.05521472392638049,0.061728395061728225,0.04878048780487809,0.07499999999999996,0.0,-0.17703349282296643
2004-01-14,0.005813953488372103,0.01764705882352935,0.03592814371257491,0.13815789473684204,,,,,,0.046107331821617414,,,,,,0.09493670886075933,,,,,,0.0,,,,,,0.045317220543806824,,,,,,27.614172785890787,,,,,,0.9333333333333332,,,,,,0.9843049327354261,,,,,,1.0,,,,,,0.06134969325153383,0.06790123456790109,0.06790123456790109,0.048484848484848575,0.06790123456790109,0.01764705882352935,-0.16826923076923084
2004-01-15,-0.05780346820809257,-0.05232558139534893,-0.0060975609756097615,0.03164556962025311,,,,,,-0.01807228915662651,,,,,,0.03164556962025311,,,,,,-0.05780346820809257,,,,,,-0.015105740181268867,,,,,,29.194061875624183,,,,,,0.9320388349514562,,,,,,0.9842342342342344,,,,,,1.0,,,,,,0.006172839506172645,0.006172839506172645,0.03164556962025311,0.012422360248447006,0.006172839506172645,-0.04678362573099415,-0.19306930693069313
2004-01-16,-0.006134969325153228,-0.06358381502890165,-0.04705882352941171,0.025316455696202445,,,,,,-0.027027027027026862,,,,,,0.006211180124223503,,,,,,-0.06358381502890165,,,,,,-0.02114803625377626,,,,,,33.53851604960895,,,,,,0.9306930693069305,0.8623853211009175,,,,,0.9841628959276016,0.9666666666666667,,,,,1.0,1.0,,,,,0.0,0.0,0.006211180124223503,0.0,-0.012195121951219412,-0.09999999999999998,-0.18181818181818177
2004-01-20,0.0,-0.006134969325153228,-0.05813953488372081,0.006211180124223503,,,,,,-0.027756939234808486,,,,,,0.0,,,,,,-0.06358381502890165,,,,,,-0.02114803625377626,,,,,,34.73315524850704,,,,,,0.9247311827956988,0.8514851485148516,,,,,0.9838709677419356,0.9660633484162896,,,,,1.0,1.0,,,,,0.0,0.025316455696202445,-0.012195121951219412,0.006211180124223503,-0.04705882352941171,-0.15183246073298418,-0.18181818181818177
2004-01-21,0.0,0.0,-0.06358381502890165,-0.029940119760478945,,,,,,-0.02409638554216853,,,,,,0.0,,,,,,-0.06358381502890165,,,,,,-0.009174311926605339,,,,,,32.67491648096553,,,,,,0.9230769230769229,0.8484848484848486,,,,,0.9837962962962964,0.9659090909090908,,,,,1.0,1.0,,,,,0.025316455696202445,0.006211180124223503,-0.018181818181818077,0.018867924528301883,-0.04705882352941171,-0.12903225806451613,-0.18181818181818177
2004-01-22,-0.024691358024691357,-0.024691358024691357,-0.030674846625766805,-0.03658536585365846,,,,,,-0.04387291981845676,,,,,,0.0,,,,,,-0.08670520231213863,,,,,,-0.027692307692307683,,,,,,27.345000978299016,,,,,,0.9213483146067414,0.8453608247422681,,,,,0.9837209302325582,0.9657534246575342,,,,,1.0,1.0,,,,,-0.018633540372670843,-0.03658536585365846,-0.018633540372670843,-0.0062893081761006275,-0.03658536585365846,-0.18556701030927825,-0.202020202020202
2004-01-23,0.018987341772152,-0.006172839506172867,-0.006172839506172867,-0.05294117647058816,,,,,,-0.01904036557501887,,,,,,0.018987341772152,,,,,,-0.06936416184971095,,,,,,-0.006172839506172867,,,,,,28.90615842545365,,,,,,0.9195402298850572,0.8421052631578949,,,,,0.9836448598130844,0.9655963302752295,,,,,1.0,1.0,,,,,-0.018292682926829174,-0.024242424242424176,-0.006172839506172867,0.03205128205128216,-0.024242424242424176,-0.18686868686868685,-0.1701030927835051
2004-01-26,0.01863354037267073,0.03797468354430378,0.012345679012345512,-0.04651162790697683,,,,,,0.005363984674329414,0.00652090525508231,,,,,0.03797468354430378,0.07894736842105265,,,,,-0.052023121387283267,-0.052023121387283267,,,,,0.012345679012345512,0.012345679012345512,,,,,36.6418733632059,28.779239955015548,,,,,0.9135802469135799,0.8314606741573034,,,,,0.9834123222748815,0.9651162790697676,,,,,1.0,1.0,,,,,-0.0060606060606061,0.01863354037267073,0.01863354037267073,0.02499999999999991,-0.012048192771084376,-0.15463917525773196,-0.14583333333333337
2004-01-27,0.0060975609756097615,0.024844720496894235,0.01851851851851838,-0.046242774566474076,0.08552631578947367,,,,,0.017733230531997046,0.007633587786259444,,,,,0.04430379746835422,0.04430379746835422,,,,,0.0,-0.046242774566474076,,,,,0.01851851851851838,0.01538461538461533,,,,,77.56506625484101,34.231539821249555,,,,,0.9113924050632908,0.8275862068965517,,,,,0.9833333333333331,0.9649532710280375,,,,,1.0,1.0,,,,,0.024844720496894235,0.01851851851851838,0.037735849056603765,0.01851851851851838,0.031249999999999778,-0.1624365482233503,-0.12698412698412698
2004-01-28,-0.024242424242424176,-0.018292682926829174,0.018987341772152,-0.012269938650306678,0.018987341772152,,,,,-0.005405405405405239,-0.017918414029736818,,,,,0.018987341772152,0.018987341772152,,,,,-0.024242424242424176,-0.06936416184971095,,,,,-0.006172839506172867,-0.009230769230769154,,,,,75.66045858805693,34.82572492687346,,,,,0.9090909090909085,0.8235294117647057,,,,,0.9832535885167462,0.9647887323943664,,,,,1.0,1.0,,,,,-0.006172839506172867,0.0,0.012578616352201255,-0.006172839506172867,0.006250000000000089,-0.14814814814814803,-0.15706806282722507
